read group,code,format,segment,reason,failed read count,total read count
UGAv3-944,8,no trimming,insert,rsq file,803635,805835
UGAv3-945,8,no trimming,insert,rsq file,6191,25487
UGAv3-946,8,no trimming,insert,rsq file,4028,8696
UGAv3-947,8,no trimming,insert,rsq file,11394,15878
UGAv3-948,8,no trimming,insert,rsq file,30705,35081
UGAv3-950,8,no trimming,insert,rsq file,5490,6851
UGAv3-951,8,no trimming,insert,rsq file,5744,10550
UGAv3-952,8,no trimming,insert,rsq file,238173,263591
UGAv3-954,8,no trimming,insert,rsq file,1707,4797
UGAv3-955,8,no trimming,insert,rsq file,70125,84159
UGAv3-956,8,no trimming,insert,rsq file,1684,5843
UGAv3-957,8,no trimming,insert,rsq file,2393,5992
UGAv3-958,8,no trimming,insert,rsq file,14780,20698
UGAv3-959,8,no trimming,insert,rsq file,340322,350527
UGAv3-960,8,no trimming,insert,rsq file,971,3299
UGAv3-961,8,no trimming,insert,rsq file,85385,93796
UGAv3-962,8,no trimming,insert,rsq file,7345,15051
UGAv3-963,8,no trimming,insert,rsq file,26003,39848
UGAv3-964,8,no trimming,insert,rsq file,1844525,1887429
UGAv3-965,8,no trimming,insert,rsq file,24121,28748
UGAv3-966,8,no trimming,insert,rsq file,11248,22183
UGAv3-967,8,no trimming,insert,rsq file,592,3170
UGAv3-968,8,no trimming,insert,rsq file,5864,9733
UGAv3-969,8,no trimming,insert,rsq file,326332,347151
UGAv3-970,8,no trimming,insert,rsq file,39488,41947
UGAv3-971,8,no trimming,insert,rsq file,17183,31923
UGAv3-973,8,no trimming,insert,rsq file,18259,19755
UGAv3-974,8,no trimming,insert,rsq file,3240,11580
UGAv3-975,8,no trimming,insert,rsq file,19118,22741
UGAv3-977,8,no trimming,insert,rsq file,38932,42354
UGAv3-978,8,no trimming,insert,rsq file,27803,30509
UGAv3-979,8,no trimming,insert,rsq file,3834,13379
UGAv3-980,8,no trimming,insert,rsq file,2207,6647
UGAv3-981,8,no trimming,insert,rsq file,107317,113632
UGAv3-982,8,no trimming,insert,rsq file,87926,91628
UGAv3-983,8,no trimming,insert,rsq file,22018,59429
UGAv3-985,8,no trimming,insert,rsq file,1889,6683
UGAv3-986,8,no trimming,insert,rsq file,1611,4289
UGAv3-987,8,no trimming,insert,rsq file,4485,7991
