read group,format,segment index,segment label,is required,is trimmed,num input reads,num prefiltered reads,num failed reads,num discarded reads,num filtered reads,num trimmed reads,num failures,num matches,num matched bases
UGAv3-1865,no trimming,0,insert,False,False,3707,0,2120,0,0,0,2120,1587,461158
UGAv3-1869,no trimming,0,insert,False,False,10007,0,7366,0,0,0,7366,2641,759821
UGAv3-1875,no trimming,0,insert,False,False,2939,0,1045,0,0,0,1045,1894,554497
UGAv3-1876,no trimming,0,insert,False,False,4842,0,2211,0,0,0,2211,2631,773882
UGAv3-1879,no trimming,0,insert,False,False,1760,0,495,0,0,0,495,1265,354269
UGAv3-1886,no trimming,0,insert,False,False,817647,0,807347,0,0,0,807347,10300,3023084
UGAv3-1892,no trimming,0,insert,False,False,16950,0,5519,0,0,0,5519,11431,2779068
UGAv3-1897,no trimming,0,insert,False,False,35420,0,33687,0,0,0,33687,1733,512180
UGAv3-1899,no trimming,0,insert,False,False,702212,0,340011,0,0,0,340011,362201,101493636
UGAv3-1900,no trimming,0,insert,False,False,14859,0,4274,0,0,0,4274,10585,3031568
UGAv3-1917,no trimming,0,insert,False,False,3296,0,1535,0,0,0,1535,1761,524912
UGAv3-1921,no trimming,0,insert,False,False,19668,0,9015,0,0,0,9015,10653,3238904
UGAv3-1922,no trimming,0,insert,False,False,92803,0,90195,0,0,0,90195,2608,750656
UGAv3-1927,no trimming,0,insert,False,False,115485,0,112719,0,0,0,112719,2766,818171
UGAv3-1928,no trimming,0,insert,False,False,24832,0,22677,0,0,0,22677,2155,662107
UGAv3-1941,no trimming,0,insert,False,False,675238,0,544841,0,0,0,544841,130397,33060650
UGAv3-1942,no trimming,0,insert,False,False,756253,0,747661,0,0,0,747661,8592,2376753
UGAv3-1945,no trimming,0,insert,False,False,20213,0,12178,0,0,0,12178,8035,2444259
UGAv3-1948,no trimming,0,insert,False,False,22723,0,20393,0,0,0,20393,2330,615962
UGAv3-1960,no trimming,0,insert,False,False,32513,0,23891,0,0,0,23891,8622,2411369
UGAv3-1962,no trimming,0,insert,False,False,28771,0,26701,0,0,0,26701,2070,608980
UGAv3-1964,no trimming,0,insert,False,False,109156,0,101930,0,0,0,101930,7226,2070991
UGAv3-1965,no trimming,0,insert,False,False,17769,0,12518,0,0,0,12518,5251,1574266
UGAv3-1969,no trimming,0,insert,False,False,196218,0,193343,0,0,0,193343,2875,777252
UGAv3-1974,no trimming,0,insert,False,False,5229,0,3261,0,0,0,3261,1968,569738
UGAv3-1985,no trimming,0,insert,False,False,33371,0,30087,0,0,0,30087,3284,916781
UGAv3-1987,no trimming,0,insert,False,False,67261,0,59074,0,0,0,59074,8187,2386487
UGAv3-1998,no trimming,0,insert,False,False,35772,0,29074,0,0,0,29074,6698,1967099
UGAv3-2015,no trimming,0,insert,False,False,5882,0,3385,0,0,0,3385,2497,724462
UGAv3-2019,no trimming,0,insert,False,False,33348,0,31145,0,0,0,31145,2203,651372
UGAv3-2020,no trimming,0,insert,False,False,1553,0,1133,0,0,0,1133,420,122980
UGAv3-2023,no trimming,0,insert,False,False,199768,0,198228,0,0,0,198228,1540,432920
UGAv3-2024,no trimming,0,insert,False,False,13123,0,5355,0,0,0,5355,7768,2273026
UGAv3-2028,no trimming,0,insert,False,False,48889,0,46371,0,0,0,46371,2518,681732
UGAv3-2036,no trimming,0,insert,False,False,45008,0,43324,0,0,0,43324,1684,501409
UGAv3-2042,no trimming,0,insert,False,False,4884,0,1685,0,0,0,1685,3199,900231
UGAv3-2043,no trimming,0,insert,False,False,49816,0,45058,0,0,0,45058,4758,1404196
UGAv3-2045,no trimming,0,insert,False,False,1207,0,590,0,0,0,590,617,183457
UGAv3-2059,no trimming,0,insert,False,False,8481,0,7165,0,0,0,7165,1316,399593
UGAv3-2061,no trimming,0,insert,False,False,10558,0,4389,0,0,0,4389,6169,1864791
UGAv3-2073,no trimming,0,insert,False,False,11115,0,10592,0,0,0,10592,523,144664
UGAv3-461,no trimming,0,insert,False,False,18208,0,15056,0,0,0,15056,3152,920839
UGAv3-462,no trimming,0,insert,False,False,11566,0,6774,0,0,0,6774,4792,1432762
UGAv3-463,no trimming,0,insert,False,False,6431,0,1223,0,0,0,1223,5208,1521948
UGAv3-464,no trimming,0,insert,False,False,43055,0,10880,0,0,0,10880,32175,9621373
UGAv3-465,no trimming,0,insert,False,False,4636,0,2269,0,0,0,2269,2367,727236
UGAv3-466,no trimming,0,insert,False,False,4939,0,2280,0,0,0,2280,2659,794110
UGAv3-467,no trimming,0,insert,False,False,2499,0,1536,0,0,0,1536,963,283972
UGAv3-468,no trimming,0,insert,False,False,40730,0,37556,0,0,0,37556,3174,955256
UGAv3-60,no trimming,0,insert,False,False,22835,0,19617,0,0,0,19617,3218,977688
UGAv3-684,no trimming,0,insert,False,False,109780,0,106482,0,0,0,106482,3298,988152
UGAv3-685,no trimming,0,insert,False,False,16761,0,14113,0,0,0,14113,2648,783299
UGAv3-686,no trimming,0,insert,False,False,20377,0,13236,0,0,0,13236,7141,2090542
UGAv3-687,no trimming,0,insert,False,False,11853,0,3637,0,0,0,3637,8216,2499198
UGAv3-688,no trimming,0,insert,False,False,6000,0,3179,0,0,0,3179,2821,865413
UGAv3-689,no trimming,0,insert,False,False,435476,0,431291,0,0,0,431291,4185,1149133
UGAv3-690,no trimming,0,insert,False,False,153812,0,139947,0,0,0,139947,13865,4135671
UGAv3-691,no trimming,0,insert,False,False,55520,0,49334,0,0,0,49334,6186,1867358
UGAv3-897,no trimming,0,insert,False,False,37355,0,21752,0,0,0,21752,15603,4653521
UGAv3-899,no trimming,0,insert,False,False,69124,0,65422,0,0,0,65422,3702,1081546
UGAv3-900,no trimming,0,insert,False,False,15598,0,5785,0,0,0,5785,9813,2970480
UGAv3-901,no trimming,0,insert,False,False,3220,0,1558,0,0,0,1558,1662,484239
UGAv3-902,no trimming,0,insert,False,False,27908,0,17357,0,0,0,17357,10551,3184332
UGAv3-903,no trimming,0,insert,False,False,44248,0,39516,0,0,0,39516,4732,1386466
UGAv3-904,no trimming,0,insert,False,False,35964,0,31722,0,0,0,31722,4242,1270513
UGAv3-905,no trimming,0,insert,False,False,7347,0,2544,0,0,0,2544,4803,1410608
UGAv3-915,no trimming,0,insert,False,False,35185,0,14615,0,0,0,14615,20570,6123381
UGAv3-916,no trimming,0,insert,False,False,17058,0,16265,0,0,0,16265,793,229161
UGAv3-917,no trimming,0,insert,False,False,3451,0,1064,0,0,0,1064,2387,685218
UGAv3-918,no trimming,0,insert,False,False,6680,0,1949,0,0,0,1949,4731,1375667
UGAv3-919,no trimming,0,insert,False,False,36204,0,29651,0,0,0,29651,6553,1883364
UGAv3-920,no trimming,0,insert,False,False,192602,0,179099,0,0,0,179099,13503,3765427
UGAv3-921,no trimming,0,insert,False,False,56747,0,50318,0,0,0,50318,6429,1888985
UGAv3-922,no trimming,0,insert,False,False,323534,0,320332,0,0,0,320332,3202,764990
UGAv3-923,no trimming,0,insert,False,False,19540,0,9882,0,0,0,9882,9658,2878250
UGAv3-924,no trimming,0,insert,False,False,4557,0,1318,0,0,0,1318,3239,969328
UGAv3-925,no trimming,0,insert,False,False,4215,0,810,0,0,0,810,3405,983462
UGAv3-926,no trimming,0,insert,False,False,3040,0,1896,0,0,0,1896,1144,336695
UGAv3-927,no trimming,0,insert,False,False,6832,0,1363,0,0,0,1363,5469,1600509
UGAv3-928,no trimming,0,insert,False,False,6704,0,3360,0,0,0,3360,3344,1007463
UGAv3-929,no trimming,0,insert,False,False,6835,0,2545,0,0,0,2545,4290,1260072
UGAv3-930,no trimming,0,insert,False,False,1516,0,994,0,0,0,994,522,153198
UGAv3-931,no trimming,0,insert,False,False,8402,0,1834,0,0,0,1834,6568,1921629
